,truelabel,predictres
2015-03-08 12:00,1065,1003.403953
2015-03-08 12:15,1034,1112.435724
2015-03-08 12:30,1073,846.8886216
2015-03-08 12:45,981,994.7478765
2015-03-08 13:00,1023,970.4846201
2015-03-08 13:15,1081,1042.439236
2015-03-08 13:30,547,1112.902197
2015-03-08 13:45,275,1107.740203
2015-03-08 14:00,657,909.6110352
2015-03-08 14:15,835,954.1254674
2015-03-08 14:30,910,993.7701496
2015-03-08 14:45,923,1025.94602
2015-03-08 15:00,911,1067.233065
2015-03-08 15:15,915,1073.372445
2015-03-08 15:30,892,946.6556587
2015-03-08 15:45,883,963.6089983
2015-03-08 16:00,851,1001.195656
2015-03-08 16:15,873,1034.58798
2015-03-08 16:30,880,1079.484148
2015-03-08 16:45,1026,1077.978204
2015-03-08 17:00,993,976.4001759
2015-03-08 17:15,970,1022.856075
2015-03-08 17:30,949,1021.152504
2015-03-08 17:45,804,1020.515263
2015-03-08 18:00,916,1043.91327
2015-03-08 18:15,999,974.0956808
2015-03-08 18:30,978,1037.450045
2015-03-08 18:45,988,1000.46976
2015-03-08 19:00,957,1011.900538
2015-03-08 19:15,874,1053.149191
2015-03-08 19:30,907,979.3524902
2015-03-08 19:45,896,1024.045091
2015-03-08 20:00,955,1038.188108
2015-03-08 20:15,1090,1103.409577
2015-03-08 20:30,969,1079.711819
2015-03-08 20:45,977,1037.502867
2015-03-08 21:00,949,1018.183449
2015-03-08 21:15,711,1013.050216
2015-03-08 21:30,485,1014.157272
2015-03-08 21:45,979,1075.326646
2015-03-08 22:00,1036,1073.579479
2015-03-08 22:15,887,1061.447544
2015-03-08 22:30,893,1061.511801
2015-03-08 22:45,798,1055.374632
2015-03-08 23:00,486,1043.312835
2015-03-08 23:15,818,1031.277434
2015-03-08 23:30,938,1068.943426
2015-03-08 23:45,895,1056.06994
2015-03-09 0:00,895,1061.702287
2015-03-09 0:15,1009,1023.604913
2015-03-09 0:30,782,1037.185982
2015-03-09 0:45,735,1024.131688
2015-03-09 1:00,726,1074.772509
2015-03-09 1:15,929,1098.431215
2015-03-09 1:30,840,975.0414537
2015-03-09 1:45,1050,1039.372234
2015-03-09 2:00,938,989.9648061
2015-03-09 2:15,1009,1039.540089
2015-03-09 2:30,882,1018.243856
2015-03-09 2:45,1133,1038.479829
2015-03-09 3:00,926,991.8958957
2015-03-09 3:15,861,1062.371218
2015-03-09 3:30,972,963.9855058
2015-03-09 3:45,968,1000.514379
2015-03-09 4:00,983,1006.461223
2015-03-09 4:15,842,1031.63587
2015-03-09 4:30,964,976.5601979
2015-03-09 4:45,1026,1061.170993
2015-03-09 5:00,1011,1043.264335
2015-03-09 5:15,950,1014.039669
2015-03-09 5:30,869,995.503154
2015-03-09 5:45,860,996.0404029
2015-03-09 6:00,847,1013.153024
2015-03-09 6:15,1402,1006.216762
2015-03-09 6:30,918,1062.306785
2015-03-09 6:45,943,1018.014326
2015-03-09 7:00,929,965.1273749
2015-03-09 7:15,918,1025.342972
2015-03-09 7:30,867,966.6429553
2015-03-09 7:45,841,987.3420511
2015-03-09 8:00,890,998.2895583
2015-03-09 8:15,919,1064.705344
2015-03-09 8:30,1015,1032.765188
2015-03-09 8:45,1001,935.1155178
2015-03-09 9:00,1009,972.9180331
2015-03-09 9:15,961,880.6993937
2015-03-09 9:30,783,904.7179406
2015-03-09 9:45,950,1024.091385
2015-03-09 10:00,973,1041.440524
2015-03-09 10:15,999,985.6448925
